K_cap,k_low,-,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
45,10,0.367921019067,0.367921019067,0.367921019067,0.367921019067,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,10,0.367921019067,0.367921019067,0.367921019067,0.367921019067,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
8,7,0.36780746812,0.36780746812,0.36780746812,0.36780746812,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,7,0.367418386076,0.367418386076,0.367418386076,0.367418386076,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,7,0.367357910361,0.367357910361,0.367357910361,0.367357910361,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,7,0.367357910361,0.367357910361,0.367357910361,0.367357910361,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,10,0.36700901358,0.36700901358,0.36700901358,0.36700901358,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,10,0.36700901358,0.36700901358,0.36700901358,0.36700901358,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,10,0.366131442521,0.365203114176,0.365388779845,0.365203114176,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
9,7,0.365859677832,0.365859677832,0.365859677832,0.365859677832,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
20,7,0.365559386201,0.365559386201,0.365559386201,0.365559386201,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,7,0.36550068188,0.36550068188,0.36550068188,0.36550068188,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
20,9,0.36532480991,0.36532480991,0.36532480991,0.36532480991,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,10,0.365203114176,0.365203114176,0.365203114176,0.365203114176,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,10,0.365203114176,0.365203114176,0.365203114176,0.365203114176,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
13,7,0.364657487263,0.364657487263,0.364657487263,0.364657487263,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
12,7,0.36394505457,0.36394505457,0.36394505457,0.36394505457,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
9,6,0.363685167562,0.363685167562,0.363685167562,0.363685167562,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
12,10,0.363397486715,0.363397486715,0.363397486715,0.363397486715,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
