K_cap,k_low,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
90,17,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,17,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,17,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,17,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,17,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,17,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,18,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,18,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,18,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,18,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,18,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,18,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,19,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,19,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,19,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,20,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,20,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,16,0,0.463147520747,0.450796684149,0.460677353427,0.463147520747,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,17,0,0.463147520747,0.463147520747,0.463147520747,0.463147520747,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,-1,1.5,0.463123471877,0.460693351568,0.462637447815,0.463123471877,10,3,0,2510,./proteins/nsp1_sparse/,plain_aff
35,19,0,0.463103347407,0.463103347407,0.463103347407,0.463103347407,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,20,0,0.463103347407,0.459344510879,0.462351580101,0.463103347407,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,22,0,0.462724459958,0.462724459958,0.462724459958,0.462724459958,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,19,0,0.462614288263,0.462614288263,0.462614288263,0.462614288263,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,40,0,0.462432286993,0.462141345135,0.462199533507,0.462141345135,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
12,11,0,0.462366283179,0.462366283179,0.462366283179,0.462366283179,10,3,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,15,0,0.462262186153,0.462262186153,0.462262186153,0.462262186153,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,16,0,0.462262186153,0.462262186153,0.462262186153,0.462262186153,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,17,0,0.462262186153,0.462262186153,0.462262186153,0.462262186153,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,15,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,16,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,16,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,17,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,17,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,17,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,17,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,18,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,18,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,18,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,18,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,19,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
